1,Interested in showing religious places around the city,12,397 Jazmyne Inlet:West Lisa,1,2016-11-12  3:00,2016-11-12  6:00
2,Interested in showing religious places around the city,12,46848 Kertzmann Keys:McKenzieview,2,2016-11-13 10:00,2016-11-13 13:00
3,A Football match,1,46848 Kertzmann Keys:McKenzieview,2,2016-11-14 14:00,2016-11-14 17:00
4,A BasketBall match,3,483 Leo Green:North Roman,3,2016-11-14  4:00,2016-11-14  7:00
5,A Bowling Tournament,4,69297 Leanne Forges:Elainahaven,4,2016-11-14  0:00,2016-11-14  3:00
6,A BasketBall match,3,19143 Minnie Tunnel:New Lincoln,5,2016-11-14  9:00,2016-11-14 12:00
7,A Soccer Match,7,19143 Minnie Tunnel:New Lincoln,5,2016-11-14 18:00,2016-11-14 21:00
8,A Bowling Tournament,4,0258 Deion Track:Adamston,6,2016-11-14 19:00,2016-11-14 22:00
9,Interested in showing unique architecture around the city,10,62815 Clement Lodge:Augustusberg,7,2016-11-13 18:00,2016-11-13 21:00
10,Interested in showing religious places around the city,12,62815 Clement Lodge:Augustusberg,7,2016-11-13  3:00,2016-11-13  6:00
11,A BasketBall match,3,62815 Clement Lodge:Augustusberg,7,2016-11-13  8:00,2016-11-13 11:00
12,Interested in showing religious places around the city,12,6683 Klocko Glens:Port Rahsaan,8,2016-11-12  4:00,2016-11-12  7:00
13,Interested in showing religious places around the city,12,6683 Klocko Glens:Port Rahsaan,8,2016-11-14  6:00,2016-11-14  9:00
14,Trip to a fine art museum,9,6683 Klocko Glens:Port Rahsaan,8,2016-11-12 13:00,2016-11-12 16:00
15,Interested in showing historical places around the city,11,62118 Retha Valley:Lake Pricemouth,9,2016-11-13  4:00,2016-11-13  7:00
16,Trip to a fine art museum,9,783 Aubree Tunnel:East Junius,10,2016-11-14  6:00,2016-11-14  9:00
17,An Ice Hockey Match,6,386 Vivienne Ville:New Aishamouth,11,2016-11-14 19:00,2016-11-14 22:00
18,Interested in showing religious places around the city,12,386 Vivienne Ville:New Aishamouth,11,2016-11-13  4:00,2016-11-13  7:00
19,A Football match,1,386 Vivienne Ville:New Aishamouth,11,2016-11-14  7:00,2016-11-14 10:00
20,Interested in showing unique architecture around the city,10,17702 Adams Place:Boston,12,2016-11-14  5:00,2016-11-14  8:00
21,Interested in showing religious places around the city,12,4462 Cummings Cliff:Boston,13,2016-11-13 19:00,2016-11-13 22:00
22,Adventure trip,13,90562 Feil Mountains:Port Lonie,14,2016-11-13 10:00,2016-11-13 13:00
23,An Ice Hockey Match,6,90562 Feil Mountains:Port Lonie,14,2016-11-12  0:00,2016-11-12  3:00
24,Trip to a fine art museum,9,90562 Feil Mountains:Port Lonie,14,2016-11-12  0:00,2016-11-12  3:00
